A00,Cólera
K285,Úlcera gastrojejunal - crônica não especificada perfuração
K286,Úlcera gastrojejunal - crônica não especificada hemorragia perfuração
K287,Úlcera gastrojejunal - crônica hemorragia perfuração
K289,Úlcera gastrojejunal - não especificada aguda crônica, hemorragia perfuração
K29,Gastrite duodenite
K290,Gastrite hemorrágica aguda
K291,Outras gastrites agudas
K292,Gastrite alcoólica
K293,Gastrite superficial crônica
K294,Gastrite atrófica crônica
K295,Gastrite crônica, outra especificação
K296,Outras gastrites
K297,Gastrite não especificada
K298,Duodenite
K299,Gastroduodenite, outra especificação
K30,Dispepsia
K31,Outras doenças estômago duodeno
K310,Dilatação aguda estômago
K311,Estenose pilórica hipertrófica adulto
K312,Estenose estreitamento ampulheta estômago
K313,Espasmo piloro não classificado outra parte
K314,Divertículo gástrico
K315,Obstrução duodeno
K316,Fístula estômago duodeno
K317,Pólipo estômago duodeno
K318,Outras doenças especificadas estômago duodeno
K319,Doenças estômago duodeno, outra especificação
K35,Apendicite aguda
K350,Apendicite aguda peritonite generalizada
K351,Apendicite aguda abscesso peritonial
K359,Apendicite aguda outra especificação
K36,Outras formas apendicite
K37,Apendicite, outras especificações
K38,Outras doenças apêndice
K380,Hiperplasia apêndice
K381,Concreções apendiculares
K382,Divertículo apêndice
K383,Fístula apêndice
K388,Outras doenças especificadas apêndice
K389,Doença apêndice, outra especificação
K40,Hérnia inguinal
K400,Hérnia inguinal bilateral, obstrução, gangrena
K401,Hérnia inguinal bilateral, gangrena
K402,Hérnia inguinal bilateral, obstrução gangrena
K403,Hérnia inguinal unilateral não especificada, obstrução gangrena
K404,Hérnia inguinal unilateral não especificada, gangrena
K409,Hérnia inguinal unilateral não especificada, obstrução gangrena
K41,Hérnia femoral
K410,Hérnia femoral bilateral, obstrução, gangrena
K411,Hérnia femoral bilateral, gangrena
K412,Hérnia femoral bilateral, obstrução gangrena
K413,Hérnia femoral unilateral não especificada, obstrução, gangrena
K414,Hérnia femoral unilateral não especificada, gangrena
K419,Hérnia femoral unilateral não especificada, obstrução gangrena
K42,Hérnia umbilical
K420,Hérnia umbilical obstrução, gangrena
K421,Hérnia umbilical gangrena
K429,Hérnia umbilical obstrução gangrena
K43,Hérnia ventral
K430,Hérnia ventral obstrução, gangrena
K431,Hérnia ventral gangrena
K439,Hérnia ventral obstrução gangrena
K44,Hérnia diafragmática
K440,Hérnia diafragmática obstrução, gangrena
K441,Hérnia diafragmática gangrena
K449,Hérnia diafragmática obstrução gangrena
K45,Outras hérnias abdominais
K450,Outras hérnias abdominais especificadas, obstrução, gangrena
K451,Outras hérnias abdominais especificadas, gangrena
K458,Outras hérnias abdominais especificadas, obstrução gangrena
K46,Hérnia abdominal não especificada
K460,Hérnia abdominal não especificada, obstrução, gangrena
K461,Hérnia abdominal não especificada gangrena
K469,Hérnia abdominal não especificada, obstrução gangrena
K50,Doença Crohn [enterite regional]
K500,Doença Crohn intestino delgado
K501,Doença Crohn intestino grosso
K508,Outra forma doença Crohn
K509,Doença Crohn localização não especificada
K51,Colite ulcerativa
K510,Enterocolite ulcerativa (crônica)
K511,Ileocolite ulcerativa (crônica)
K512,Proctite ulcerativa (crônica)
K513,Retossigmoidite ulcerativa (crônica)
K514,Pseudopolipose cólon
K515,Proctocolite mucosa
K518,Outras colites ulcerativas
K519,Colite ulcerativa, outra especificação
K52,Outras gastroenterites colites não-infecciosas
K520,Gastroenterite colite devida à radiação
K521,Gastroenterite colite tóxicas
K522,Gastroenterite colite alérgicas ligadas à dieta
K528,Outras gastroenterites colites especificadas, não-infecciosas
K529,Gastroenterite colite não-infecciosas, não especificadas
K55,Transtornos vasculares intestino
K550,Transtornos vasculares agudos intestino
K551,Transtornos vasculares crônicos intestino
K552,Angiodisplasia cólon
K558,Outros transtornos vasculares intestino
K559,Transtorno vascular intestino, outra especificação
K56,Íleo paralítico obstrução intestinal hérnia
K560,Íleo paralítico
K561,Intussuscepção
K562,Volvo
K563,Íleo biliar
K564,Outras obstruções intestino
K565,Aderências intestinais (bridas) obstrução
K566,Outras formas obstrução intestinal, as não especificadas
K567,Íleo, não especificado
K57,Doença diverticular intestino
K570,Doença diverticular intestino delgado perfuração abscesso
K571,Doença diverticular intestino delgado perfuração abscesso
K572,Doença diverticular intestino grosso perfuração abscesso
K573,Doença diverticular intestino grosso perfuração abscesso
K574,Doença diverticular concomitante intestinos delgado grosso perfuração abscesso
K575,Doença diverticular concomitante intestinos delgado grosso perfuração abscesso
K578,Doença diverticular intestino, localização não especificada, perfuração abscesso
K579,Doença diverticular intestino, localização não especificada, perfuração abscesso
K58,Síndrome cólon irritável
K580,Síndrome cólon irritável diarréia
K589,Síndrome cólon irritável diarréia
K59,Outros transtornos funcionais intestino
K590,Constipação
K591,Diarréia funcional
K592,Cólon neurogênico não classificado outra parte
K593,Megacólon não classificado outra parte
K594,Espasmo anal
K598,Outros transtornos funcionais especificados intestino
K599,Transtorno intestinal funcional, não especificado
K60,Fissura fístula regiões anal retal
K600,Fissura anal aguda
K601,Fissura anal crônica
K602,Fissura anal, não especificada
K603,Fístula anal
K604,Fístula retal
K605,Fístula anorretal
K61,Abscesso regiões anal retal
K610,Abscesso anal
K611,Abscesso retal
K612,Abscesso anorretal
K613,Abscesso ísquio-retal
K614,Abscesso intra-esfincteriano
K62,Outras doenças reto ânus
K620,Pólipo anal
K621,Pólipo retal
K622,Prolapso anal
K623,Prolapso retal
K624,Estenose ânus reto
K625,Hemorragia ânus reto
K626,Úlcera ânus reto
K627,Proctite radiação
K628,Outras doenças especificadas ânus reto
K629,Doença ânus reto, outra especificação
K63,Outras doenças intestino
K630,Abscesso intestino
K631,Perfuração intestino (não-traumática)
K632,Fístula intestino
K633,Úlcera intestino
K634,Enteroptose
K635,Pólipo cólon
K638,Outras doenças especificadas intestino
K639,Doença intestino, outra especificação
K65,Peritonite
K650,Peritonite aguda
K658,Outras peritonites
K659,Peritonite, outras especificações
K66,Outros transtornos peritônio
K67,Comprometimento peritônio, doenças infecciosas classificadas outra parte
K70,Doença alcoólica fígado
K71,Doença hepática tóxica
K72,Insuficiência hepática não classificada outra parte
K73,Hepatite crônica não classificada outra parte
K74,Fibrose cirrose hepáticas
K75,Outras doenças inflamatórias fígado
K76,Outras doenças fígado
K77,Transtornos fígado doenças classificadas outra parte
K80,Colelitíase
K81,Colecistite
K82,Outras doenças vesícula biliar
K83,Outras doenças vias biliares
K85,Pancreatite aguda
K86,Outras doenças pâncreas
K87,Transtornos vesícula biliar, vias biliares pâncreas doenças classificadas outra parte
K90,Má-absorção intestinal
K91,Transtornos aparelho digestivo pós-procedimentos, não classificados outra parte
K92,Outras doenças aparelho digestivo
K93,Transtornos outros órgãos digestivos doenças classificadas outra parte
L00,Síndrome pele escaldada estafilocócica recém-nascido
L01,Impetigo
L02,Abscesso cutâneo, furúnculo antraz
L03,Celulite (Flegmão)
L04,Linfadenite aguda
L05,Cisto pilonidal
L08,Outras infecções localizadas pele tecido subcutâneo
L10,Pênfigo
L11,Outras afecções acantolíticas
L12,Penfigóide
L13,Outras afecções bolhosas
L14,Afecções bolhosas doenças classificadas outra parte
L20,Dermatite atópica
L21,Dermatite seborréica
L22,Dermatite fraldas
L23,Dermatites alérgicas contato
L24,Dermatites contato irritantes
L25,Dermatite contato não especificada
L26,Dermatite esfoliativa
L27,Dermatite devida substâncias uso interno
L28,Líquen simples crônico prurigo
L29,Prurido
L30,Outras dermatites
L40,Psoríase
L41,Parapsoríase
L42,Pitiríase rósea
L43,Líquen plano
L44,Outras afecções pápulo-descamativas
L45,Afecções pápulo-descamativas doenças classificadas outra parte
L50,Urticária
L51,Eritema polimorfo (eritema multiforme)
L52,Eritema nodoso
L53,Outras afecções eritematosas
L54,Eritema doenças classificadas outra parte
L55,Queimadura solar
L56,Outras alterações agudas pele devidas radiação ultravioleta
L57,Alterações pele devidas à exposição crônica à radiação não ionizante
L58,Radiodermatite
L59,Outras afecções pele tecido subcutâneo relacionadas radiação
L60,Afecções unhas
L62,Afecções unhas doenças classificadas outra parte
L63,Alopécia areata
L64,Alopécia androgênica
L65,Outras formas não cicatriciais perda cabelos pêlos
L66,Alopécia cicatricial [perda cabelos pêlos, cicatricial]
L67,Anormalidades cor pedículo cabelos pêlos
L68,Hipertricose
L70,Acne
L71,Rosácea
L72,Cistos foliculares pele tecido subcutâneo
L73,Outras afecções foliculares
L74,Afecções glândulas sudoríparas écrinas
L75,Afecções glândulas sudoríparas apócrinas
L80,Vitiligo
L81,Outros transtornos pigmentação
L82,Ceratose seborréica
L83,Acantose nigricans
L84,Calos calosidades
L85,Outras formas espessamento epidérmico
L86,Ceratodermia doenças classificadas outra parte
L87,Transtornos eliminação transepidérmica
L88,Piodermite gangrenosa
L89,Úlcera decúbito
L90,Afecções atróficas pele
L91,Afecções hipertróficas pele
L92,Afecções granulomatosas pele tecido subcutâneo
L93,Lúpus eritematoso
L94,Outras afecções localizadas tecido conjuntivo
L95,Vasculite limitada pele não classificadas outra parte
L97,Úlcera membros inferiores não classificada outra parte
L98,Outras afecções pele tecido subcutâneo não classificadas outra parte
L99,Outras afecções pele tecido subcutâneo doenças classificadas outra parte
M00,Artrite piogênica
M01,Infecções diretas articulação doenças infecciosas parasitárias classificadas outra parte
M02,Artropatias reacionais
M03,Artropatias pós-infecciosas reacionais doenças infecciosas classificadas outra parte
M05,Artrite reumatóide soro-positiva,M05   Artrite reumatoide soro-positiva
M06,Outras artrites reumatóides,M06   Outr artrites reumatoides
M07,Artropatias psoriásicas enteropáticas
M08,Artrite juvenil
M09,Artrite juvenil doenças classificadas outra parte
M10,Gota
M11,Outras artropatias deposição cristais
M12,Outras artropatias especificadas
M13,Outras artrites
M14,Artropatias outras doenças classificadas outra parte
M15,Poliartrose
M16,Coxartrose [artrose quadril]
M17,Gonartrose [artrose joelho]
M18,Artrose primeira articulação carpometacarpiana
M19,Outras artroses
M20,Deformidades adquiridas dedos mãos pés
M21,Outras deformidades adquiridas membros
M22,Transtornos rótula [patela]
M23,Transtornos internos joelhos
M24,Outros transtornos articulares específicos
M25,Outros transtornos articulares não classificados outra parte
M253,Outras instabilidades articulares
M254,Derrame articular
M255,Dor articular
M256,Rigidez articular não classificada outra parte
M257,Osteofito
M258,Outros transtornos articulares especificados
M259,Transtorno articular não especificado
M30,Poliarterite nodosa afecções correlatas
M300,Poliarterite nodosa
M301,Poliarterite comprometimento pulmonar [Churg-Strauss]
M302,Poliarterite juvenil
M303,Síndrome linfonodos mucocutâneos [Kawasaki]
M308,Outras afecções comuns na poliarterite nodosa
M31,Outras vasculopatias necrotizantes
M310,Angeíte hipersensibilidade
M311,Microangiopatia trombótica
M312,Granuloma linha média letal
M313,Granulomatose Wegener
M314,Síndrome arco aórtico [Takayasu]
M315,Arterite células gigantes polimialgia reumática
M316,Outras arterites células gigantes
M317,Poliangeíte microscópica
M318,Outras vasculopatias necrotizantes especificadas
M319,Vasculopatia necrotizante não especificada
M32,Lúpus eritematoso disseminado [sistêmico]
M320,Lúpus eritematoso disseminado [sistêmico] induzido drogas
M321,Lúpus eritematoso disseminado [sistêmico] comprometimento outros órgãos sistemas
M328,Outras formas lúpus eritematoso disseminado [sistêmico]
M329,Lúpus eritematoso disseminado [sistêmico] não especificado
M33,Dermatopoliomiosite
M330,Dermatomiosite juvenil
M331,Outras dermatomiosites
M332,Polimiosite
M339,Dermatopolimiosite não especificada
M34,Esclerose sistêmica
M340,Esclerose sistêmica progressiva
M341,Síndrome CR(E)ST
M342,Esclerose sistêmica induzida droga substâncias químicas
M348,Outras formas esclerose sistêmica
M349,Esclerose sistêmica não especificada
M35,Outras afecções sistêmicas tecido conjuntivo
M350,Síndrome seca [Sjögren]
M351,Outras síndromes superpostas
M352,Doença Behçet
M353,Polimialgia reumática
M354,Fasciíte (eosinofílica) difusa
M355,Fibroesclerose multifocal
M356,Paniculite recidivante [Weber-Christian]
M357,Síndrome hipermobilidade
M358,Outro comprometimento sistêmico especificado tecido conjuntivo
M359,Comprometimento sistêmico não especificado tecido conjuntivo
M36,Doenças sistêmicas tecido conjuntivo doenças classificadas outra parte
M360,Dermato(poli)miosite doenças neoplásicas
M361,Artropatia doenças neoplásicas classificadas
M362,Artropatia hemofílica
M363,Artropatias outras doenças hematológicas
M364,Artropatia associada reações hipersensibilidade classificadas outra parte
M368,Doenças sistêmicas tecido conjuntivo outras doenças classificadas outra parte
M40,Cifose lordose
M400,Cifose postural
M401,Outras cifoses secundárias
M402,Outras cifoses as não especificadas
M403,Síndrome retificação coluna vertebral
M404,Outras lordoses
M405,Lordose não especificada
M41,Escoliose
M410,Escoliose idiopática infantil
M411,Escoliose idiopática juvenil
M412,Outras escolioses idiopáticas
M413,Escoliose toracogênica
M414,Escoliose neuromuscular
M415,Outras escolioses secundárias
M418,Outras formas escoliose
M419,Escoliose não especificada
M42,Osteocondrose coluna vertebral
M420,Osteocondrose vertebral juvenil
M421,Osteocondrose vertebral adulto
M429,Osteocondrose vertebral
M43,Outras dorsopatias deformantes
M430,Espondilólise
M431,Espondilolistese
M432,Outras fusões coluna vertebral
M433,Subluxação atlanto-axial recidivante mielopatia
M434,Outras subluxações atlanto-axiais recidivantes
M435,Outras subluxações vertebrais recidivantes
M436,Torcicolo
M438,Outras dorsopatias deformantes especificadas
M439,Dorsopatia deformante
M45,Espondilite ancilosante
M46,Outras espondilopatias inflamatórias
M460,Entesopatia vertebral
M461,Sacroileíte não classificada outra parte
M462,Osteomielite vértebras
M463,Infecção (piogênica) disco intervertebral
M464,Discite não especificada
M465,Outras espondilopatias infecciosas
M468,Outras espondilopatias inflamatórias especificadas
M469,Espondilopatia inflamatória não especificada
M47,Espondilose
M470,Síndromes compressão artéria espinhal anterior vertebral anterior
M471,Outras espondiloses mielopatia
M472,Outras espondiloses radiculopatias
M478,Outras espondiloses
M479,Espondilose não especificada
M48,Outras espondilopatias
M480,Estenose coluna vertebral
M481,Hiperostose ancilosante [Forestier]
M482,Kissing spine
M483,Espondilopatia traumática
M484,Fratura fadiga vértebra
M485,Vértebra colapsada não classificada outra parte
M488,Outras espondilopatias especificadas
M489,Espondilopatia não especificada
M49,Espondilopatias doenças classificadas outra parte
M490,Tuberculose coluna vertebral
M491,Espondilite Brucella
M492,Espondilite enterobactérias
M493,Espondilopatia outras doenças infeciosas parasitárias classificadas outra parte
M494,Espondilopatia neuropática
M495,Vértebra colapsada doenças classificadas outra parte
M498,Espondilopatia outras doenças classificadas outra parte
M50,Transtornos discos cervicais
M500,Transtorno disco cervical mielopatia
M501,Transtorno disco cervical radiculopatia
M502,Outro deslocamento disco cervical
M503,Outra degeneração disco cervical
M508,Outros transtornos discos cervicais
M509,Transtorno não especificado disco cervical
M51,Outros transtornos discos intervertebrais
M510,Transtornos discos lombares outros discos intervertebrais mielopatia
M511,Transtornos discos lombares outros discos intervertebrais radiculopatia
M512,Outros deslocamentos discais intervertebrais especificados
M513,Outra degeneração especificada disco intervertebral
M514,Nódulos Schmorl
M518,Outros transtornos especificados discos intervertebrais
M519,Transtorno não especificado disco intervertebral
M53,Outras dorsopatias não classificadas outra parte
M530,Síndrome cervicocraniana
M531,Síndrome cervicobraquial
M532,Instabilidades coluna vertebral
M533,Transtornos sacroccígeos não classificados outra parte
M538,Outras dorsopatias especificadas
M539,Dorsopatia não especificada
M54,Dorsalgia
M540,Paniculite atingindo regiões pescoço dorso
M541,Radiculopatia
M542,Cervicalgia
M543,Ciática
M544,Lumbago ciática
M545,Dor lombar baixa
M546,Dor na coluna torácica
M548,Outra dorsalgia
M549,Dorsalgia não especificada
M60,Miosite
M600,Miosite infecciosa
M601,Miosite intersticial
M602,Granuloma corpo estranho no tecido mole não classificado outra parte
M608,Outras miosites
M609,Miosite não especificada
M61,Calcificação ossificação músculo
M610,Miosite ossificante traumática
M611,Miosite ossificante progressiva
M612,Calcificação ossificação paralítica músculo
M613,Calcificação ossificação músculo associadas queimaduras
M614,Outra calcificação músculo
M615,Outra ossificação músculo
M619,Calcificação ossificação músculo não especificada
M62,Outros transtornos musculares
M620,Diástase músculo
M621,Outras rupturas musculares (não-traumáticas)
M622,Infarto isquêmico músculo
M623,Síndrome imobilidade (paraplégica)
M624,Contratura músculo
M625,Perda atrofia muscular não classificadas outra parte
M626,Distensão muscular
M628,Outros transtornos musculares especificados
M629,Transtorno muscular não especificado
M63,Transtornos músculo doenças classificadas outra parte
M630,Miosite doenças bacterianas classificadas outra parte
M631,Miosite doenças infecciosas causadas protozoários parasitas classificadas outra parte
M632,Miosite outras doenças infecciosas classificadas outra parte
M633,Miosite na sarcoidose
M638,Outros transtornos musculares doenças classificadas outra parte
M65,Sinovite tenossinovite
M650,Abscesso bainha tendínea
M651,Outras (teno)sinovites infecciosas
M652,Tendinite calcificada
M653,Dedo gatilho
M654,Tenossinovite estilóide radial [de Quervain]
M658,Outras sinovites tenossinovites
M659,Sinovite tenossinovite não especificadas
M66,Ruptura espontânea sinóvia tendão
M660,Ruptura cisto poplíteo
M661,Ruptura sinóvia
M662,Ruptura espontânea tendões extensores
M663,Ruptura espontânea tendões flexores
M664,Ruptura espontânea outros tendões
M665,Ruptura espontânea tendões não especificados
M67,Outros transtornos sinóvias tendões
M670,Tendão Aquiles curto (adquirido)
M671,Outra contratura tendão (bainha)
M672,Hipertrofia sinovial não classificada outra parte
M673,Sinovite transitória
M674,Gânglios
M678,Outros transtornos especificados sinóvia tendão
M679,Transtorno não especificado sinóvia tendão
M68,Transtorno sinóvias tendões doenças classificadas outra parte
M680,Sinovite tenossinovite doenças bacterianas classificadas outra parte
M688,Outros transtornos sinóvias tendões doenças classificadas outra parte
M70,Transtornos tecidos moles relacionados o uso, uso excessivo pressão
M700,Sinovite crepitante crônica mão punho
M701,Bursite mão
M702,Bursite olécrano
M703,Outras bursites cotovelo
M704,Bursite pré-patelar
M705,Outras bursites joelho
M706,Bursite trocantérica
M707,Outras bursites quadril
M708,Outros transtornos tecidos moles relacionados o uso
M709,Transtorno não especificado tecidos moles relacionados o uso
M71,Outras bursopatias
M710,Abscesso bolsa sinovial
M711,Outras bursites infecciosas
M712,Cisto sinovial espaço poplíteo [Baker]
M713,Outros cistos bolsa sinovial
M714,Depósito cálcio bolsa sinovial
M715,Outras bursites não classificadas outra parte
M718,Outras bursopatias especificadas
M719,Bursopatia não especificada
M72,Transtornos fibroblásticos
M720,Fibromatose fáscia palmar [Dupuytren]
M721,Coxins interfalângicos (nó dedos)
M722,Fibromatose fáscia plantar
M724,Fibromatose pseudossarcomatosa
M726,Fasciíte necrosante
M728,Outros transtornos fibroblásticos
M729,Transtorno fibroblástico não especificado
M73,Transtornos tecidos moles doenças classificadas outra parte
M730,Bursite gonocócica
M731,Bursite sifilítica
M738,Outros transtornos tecidos moles outras doenças classificadas outra parte
M75,Lesões ombro
M750,Capsulite adesiva ombro
M751,Síndrome manguito rotador
M752,Tendinite bicepital
M753,Tendinite calcificante ombro
M754,Síndrome colisão ombro
M755,Bursite ombro
M758,Outras lesões ombro
M759,Lesão não especificada ombro
M76,Entesopatias membros inferiores, excluindo pé
M760,Tendinite glútea
M761,Tendinite psoas
M762,Esporão crista ilíaca
M763,Síndrome faixa iliotibial
M764,Bursite tibial colateral [Pellegrini-Stieda]
M765,Tendinite patelar
M766,Tendinite aquileana
M767,Tendinite perôneo
M768,Outras entesopatias membro inferior
M769,Entesopatia membro inferior não especificada
M77,Outras entesopatias
M770,Epicondilite medial
M771,Epicondilite lateral
M772,Periartrite punho
M773,Esporão calcâneo
M774,Metatarsalgia
M775,Outra entesopatia pé
M778,Outras entesopatias não classificadas outra parte
M779,Entesopatia não especificada
M79,Outros transtornos tecidos moles, não classificados outra parte
M790,Reumatismo não especificado
M791,Mialgia
M792,Nevralgia neurite não especificadas
M793,Paniculite não especificada
M794,Hipertrofia coxim gorduroso (infrapatelar)
M795,Corpo estranho residual no tecido mole
M796,Dor membro
M797,Fibromialgia
M798,Outros transtornos especificados tecidos moles
M799,Transtorno tecidos moles não especificado
M80,Osteoporose fratura patológica
M800,Osteoporose pós-menopáusica fratura patológica
M8000/0,Neoplasia benigna
M8000/1,Neoplasia comportamento incerto se benigno maligno
M8000/3,Neoplasia maligna
M8000/6,Neoplasia metastática
M8001/0,Células tumorais
M8001/1,Células tumorais
M8001/3,Células tumorais malignas
M8002/3,Tumor maligno
M8003/3,Tumor maligno
M8004/3,Tumor maligno
M801,Osteoporose pós-ooforectomia fratura patológica
M8010/0,Tumor epitelial benigno
M8010/2,Carcinoma in situ SOE
M8010/3,Carcinoma SOE
M8010/6,Carcinoma metastático SOE
M8011/0,Epitelioma benigno
M8011/3,Epitelioma maligno
M8012/3,Carcinomas células grandes SOE
M802,Osteoporose desuso fratura patológica
M8020/3,Carcinoma indiferenciado SOE
M8021/3,Carcinoma anaplásico SOE
M8022/3,Carcinoma pleomórfico
M803,Osteoporose má-absorção pós-cirúrgica fratura patológica
M8030/3,Carcinoma células gigantes células fusiformes
M8031/3,Carcinoma células gigantes
M8032/3,Carcinoma células fusiformes
M8033/3,Carcinoma pseudossarcomatoso
M8034/3,Carcinoma células poligonais
M804,Osteoporose induzida drogas fratura patológica
M8040/1,Tumorlet
M8041/3,Carcinoma células pequenas SOE
"M8042/3,""Carcinoma """"oat cell"""""""
M8043/3,Carcinoma células pequenas
M8044/3,Carcinoma células pequenas
M8045/3,Carcinoma células pequenas células grandes
M805,Osteoporose idiopática fratura patológica
M8050/0,Papiloma SOE (exceto Papiloma bexiga M8120/1)
M8050/2,Carcinoma papilar in situ
M8050/3,Carcinoma papilar SOE
M8051/0,Papiloma verrucoso
M8051/3,Carcinoma verrucoso SOE
M8052/0,Papiloma células escamosas
M8052/3,Carcinoma papilar células escamosas
M8053/0,Papiloma invertido
M8060/0,Papilomatose SOE
M8070/2,Carcinoma in situ células escamosas
M8070/3,Carcinoma células escamosas SOE
M8070/6,Carcinoma células escamosas
M8071/3,Carcinoma células escamosas
M8072/3,Carcinoma células escamosas
M8073/3,Carcinoma células escamosas
M8074/3,Carcinoma células escamosas
M8075/3,Carcinoma células escamosas adenóides
M8076/2,Carcinoma in situ células escamosas invasão questionável estroma
M8076/3,Carcinoma células escamosas
M8077/2,Neoplasia intra-epitelial
M808,Outras osteoporoses fratura patológica
M8080/2,Eritroplasia Queyrat
M8081/2,Doença Bowen
M8082/3,Carcinoma linfoepitelial
M809,Osteoporose não especificada fratura patológica
M8090/1,Tumor células basais
M8090/3,Carcinoma células basais SOE
M8091/3,Carcinoma células basais
M8092/3,Carcinoma células basais
M8093/3,Carcinoma células basais
M8094/3,Carcinoma basoescamoso
M8095/3,Carcinoma metatípico
M8096/0,Epitelioma intra-epidérmico Jadassohn
M81,Osteoporose fratura patológica
M810,Osteoporose pós-menopáusica
M8100/0,Tricoepitelioma
M8101/0,Tricofoliculoma
M8102/0,Tricolemoma
M811,Osteoporose pós-ooforectomia
M8110/0,Pilomatrixoma SOE
M8110/3,Carcinoma pilomátrix
M812,Osteoporose desuso
M8120/0,Papiloma células transição
M8120/1,Papiloma urotelial
M8120/2,Carcinoma in situ células transicionais
M8120/3,Carcinoma células transicionais SOE
M8121/0,Papiloma schneideriano
M8121/1,Papiloma células transicionais
M8121/3,Carcinoma schneideriano
M8122/3,Carcinoma células transicionais
M8123/3,Carcinoma basalóide
M8124/3,Carcinoma cloacogênico
M813,Osteoporose devida à má-absorção pós-cirúrgica
M8130/3,Carcinoma papilar células transicionais
M814,Osteoporose induzida drogas
M8140/0,Adenoma SOE
M8140/1,Adenoma brônquico SOE
M8140/2,Adenocarcinoma in situ SOE
M8140/3,Adenocarcinoma SOE
M8140/6,Adenocarcinoma metastático SOE
M8141/3,Adenocarcinoma esquirroso
M8142/3,Linite plástica
M8143/3,Adenocarcinoma propagação superficial
M8144/3,Adenocarcionama
M8145/3,Carcinoma
M8146/0,Adenoma monomórfico
M8147/0,Adenoma células basais
M8147/3,Adenocarcinoma células basais
M815,Osteoporose idiopática
M8150/0,Adenoma células ilhotas
M8150/3,Carcinoma células ilhotas
M8151/0,Insulinoma SOE
M8151/3,Insulinoma maligno
M8152/0,Glucagonoma SOE
M8152/3,Glucagonoma maligno
M8153/1,Gastrinoma SOE
M8153/3,Gastrinoma maligno
M8154/3,Adenocarcinoma misto
M8155/3,Vipoma
M816,Osteoporose localizada [Lequesne]
M8160/0,Adenoma duto biliar
M8160/3,Colangiocarcinoma
M8161/0,Cistadenoma dutos biliares
M8161/3,Cistadenocarcinoma dutos biliares
M8162/3,Tumor Klatskin
M8170/0,Adenoma células hepáticas
M8170/3,Carcinoma hepatocelular SOE
M8171/3,Carcinoma hepatocelular fibrolamelar
M818,Outras osteoporoses
M8180/3,Carcinoma hepatocelular colangiocarcinoma combinados
M819,Osteoporose não especificada
M8190/0,Adenoma trabecular
M8190/3,Adenocarcinoma trabecular
M8191/0,Adenoma embrionário
M82,Osteoporose doenças classificadas outra parte
M820,Osteoporose na mielomatose múltipla
M8200/0,Cilindroma dérmico écrino
M8200/3,Carcinoma cístico adenóide
M8201/3,Carcinoma cribriforme
M8202/0,Adenoma microcístico
M821,Osteoporose distúrbios endócrinos
M8210/0,Pólipo adenomatoso SOE
M8210/2,Adenocarcinoma in situ pólipo adenomatoso
M8210/3,Adenocarcinoma pólipo adenomatoso
M8211/0,Adenoma tubular SOE
M8211/3,Adenocarcinoma tubular
M8220/0,Polipose adenomatosa cólon
M8220/3,Adenocarcinoma polipose adenomatosa cólon
M8221/0,Pólipos adenomatosos múltiplos
M8221/3,Adenocarcinoma pólipos adenomatosos múltiplos
M8230/3,Carcinoma sólido SOE
M8231/3,Carcinoma simples
M8240/1,Tumor carcinóide SOE apêndice
M8240/3,Tumor carcinóide SOE (exceto apêndice M8240/1)
M8241/1,Tumor carcinóide argentafínico SOE
M8241/3,Tumor carcinóide argentafínico maligno
M8243/3,Carcinoma células caliciformes
M8244/3,Carcinóide composto
M8245/3,Tumor adenocarcinóide
M8246/3,Carcinoma neuroendócrino
M8247/3,Carcinoma células Merkel
M8248/1,Apudoma
M8250/1,Adenomatose pulmonar
M8250/3,Adenocarcinoma bronquíolo-alveolar
M8251/0,Adenoma alveolar
M8251/3,Adenocarcinoma alveolar
M8260/0,Adenoma papilar SOE
M8260/3,Adenocarcinoma papilar SOE
M8261/1,Adenoma viloso SOE
M8261/2,Adenocarcinoma in situ adenoma viloso
M8261/3,Adenocarcinoma adenoma viloso
M8262/3,Adenocarcinoma viloso
M8263/0,Adenoma tubuloviloso SOE
M8263/2,Adenocarcinoma in situ adenoma tubuloviloso
M8263/3,Adenocarcinoma adenoma tubuloviloso
M8270/0,Adenoma cromófobo
M8270/3,Carcinoma cromófobo
M8271/0,Prolactinoma
M828,Osteoporose outras doenças classificadas outra parte
M8280/0,Adenoma acidófilo
M8280/3,Carcinoma acidófilo
M8281/0,Adenoma misto acidófilo-basófilo
M8281/3,Carcinoma misto acidófilo-basófilo
M8290/0,Adenoma oxifílico
M8290/3,Adenocarcinoma oxifílico
M83,Osteomalácia adulto
M830,Osteomalácia puerperal
M8300/0,Adenoma basófilo
M8300/3,Carcinoma basófilo
M831,Osteomalácia senil
M8310/0,Adenoma células claras
M8310/3,Adenocarcinoma células claras SOE
M8311/1,Tumor hipernefróide
M8312/3,Carcinoma células renais
M8313/0,Adenofibroma células claras
M8314/3,Carcinoma rico lípides
M8315/3,Carcinoma rico glicogênio
M832,Osteomalácia adulto devida má-absorção
M8320/3,Carcinoma células granulares
M8321/0,Adenoma células principais
M8322/0,Adenoma células claras (water-clear cell)
M8322/3,Adenocarcinoma células claras (water-clear cell)
M8323/0,Adenoma células mistas
M8323/3,Adenocarcinoma células mistas
M8324/0,Lipoadenoma
M833,Osteomalácia adulto devido à desnutrição
M8330/0,Adenoma folicular
